artist,price,date,venue,songid1,songid2,deleted
Nordic Daughter,$13,11-23-2018,Bluebird Theater,006aWxFP91ieNteKybM7eg,37JJ1myDEosZqcnbeXcUL4,False
Spiral Cell,$13,11-23-2018,Bluebird Theater,5EZ1nXrEzJZ84xqA7mVwaX,5T3Kdkl7e8S6Clo6juUAbN,False
Sharone & The Wind,$13,11-23-2018,Bluebird Theater,5DNTb1yEcSV6OzawEQ1roa,2zpfyilnF7UR6KnpbRS5Io,False
Saint Jhn,$20,11-27-2018,Gothic Theatre,1yKj60nSSQGVuZMhj0huDa,4A5owiyEiYxDuDPvTrRCxS,False
Gucci Mane,$49.50,11-28-2018,Fillmore Auditorium,0QIjsbm2fh1cJ45XO9eGqq,1XRgIKC5TPwo7nWGyKqgG0,False
Smokepurpp,$49.50,11-28-2018,Fillmore Auditorium,0ibOcbkp2XG46Do8jcy0bL,2INqEk4ko5AsGVLBsiKiQe,False
Carnage,$49.50,11-28-2018,Fillmore Auditorium,3sz2fvkHUhBip8r9i8HqeV,4afMG2PlvFfX976bZJvHmb,False
Hoodrich Pablo Juan,$49.50,11-28-2018,Fillmore Auditorium,2Y43TDqgnRgVZA7RxtxEV1,74CqzXfZOk6A0O9L0gU4mh,False
The California Honeydrops,$22-$25,11-29-2018,Gothic Theatre,2fRXHXLFvYnaYbQwkyadeC,1PLXHl630NVeLZVjC42pZW,False
Little Steven & the Disciples of Soul,$35-$40,11-30-2018,Gothic Theatre,0Ad7AOcXTLs2W18ZHhTkjC,6mWejbimI1NxQQRIIUIkxO,False
Tracksuit Wedding,$40-$50,12-01-2018,Ogden Theatre,0MqRVOzZj1I3kjODI4uA42,4xQPPPCALiEhfVqCqRrrZj,False
The Fray,$40-$50,12-01-2018,Ogden Theatre,5fVZC9GiM4e8vu99W0Xf6J,4IoYz8XqqdowINzfRrFnhi,False
Doom Side of the Moon,$25/$30,12-03-2018,Bluebird Theater,4RVBMSuPAoYrqDiS04ASbS,55jGZkMqTvv7CWGJy07kHq,False
OneRepublic,$44.75-$84.75,12-04-2018,Fillmore Auditorium,3T4UodGkfZObJ43RtA5KFU,6sy3LkhNFjJWlaeSMNwQ62,False
White Panda,$18,12-04-2018,Bluebird Theater,1wR8ATQr0sxSfp6jGJ5Oe6,2H89IUBV4rAmzOmTShrxRL,False
Snow Tha Product,$25/$30,12-07-2018,Ogden Theatre,3Ng9R7UMhaaATQdJDsRJNz,2HCQfx7Dv4yHlrSyvMwksF,False
The Polish Ambassador,$19.75-$24.75,12-08-2018,Fillmore Auditorium,4SlMRlPLJzWFaTcmkMSiJN,1ZIDgf91KUTM0Qq6zLUDsv,False
Ookay,$20,12-08-2018,Bluebird Theater,5Ce9z7GqSknXccyppRxNLY,1VxogbO6bfygdfaCnE9oLb,False
Willie Watson,$20/$23,12-09-2018,Bluebird Theater,5L1BHZ2uApRTpP95yGykjv,0VqwHizFyYikBc77WtCsgo,False
Charlie Parr,$20/$23,12-09-2018,Bluebird Theater,0F3ZS2gMHCImgws6ewz1H7,1zTD6Z2T4Pks6P0urU5RVK,False
The Band Perry,$29.50,12-09-2018,Gothic Theatre,4u26EevCNXMhlvE1xFBJwX,3z0a8G407NbxfjTRffvQiP,False
